date,home_team,away_team,home_score,away_score,home_odds,away_odds,url,sport,tournament,season,handicap,comment
2016-06-20,Golden State Warriors,Cleveland Cavaliers,89,93,1.54,2.58,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-cleveland-cavaliers-fJ12apqa/,nba,NBA,2015/2016,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2016-06-17,Cleveland Cavaliers,Golden State Warriors,,115,1.76,2.11,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-golden-state-warriors-WtlI3t8o/,nba,NBA,2015/2016,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.92, ""odds_under"": 1.9}}",
2016-06-14,Golden State Warriors,Cleveland Cavaliers,97,112,1.44,2.85,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-cleveland-cavaliers-dIKsKozp/,nba,NBA,2015/2016,"{""208.5"": {""label"": 208.5, ""odds_over"": 1.86, ""odds_under"": 1.98}}",
2016-06-11,Cleveland Cavaliers,Golden State Warriors,97,108,1.71,2.20,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-golden-state-warriors-UiG8aAZq/,nba,NBA,2015/2016,"{""206.5"": {""label"": 206.5, ""odds_over"": 1.92, ""odds_under"": 1.9}}",
2016-06-09,Cleveland Cavaliers,Golden State Warriors,,120,1.84,2.01,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-golden-state-warriors-hShuHx5H/,nba,NBA,2015/2016,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2016-06-06,Golden State Warriors,Cleveland Cavaliers,,110,1.40,3.05,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-cleveland-cavaliers-CGyrIIkB/,nba,NBA,2015/2016,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2016-06-03,Golden State Warriors,Cleveland Cavaliers,,104,1.42,2.97,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-cleveland-cavaliers-YPxvJbz5/,nba,NBA,2015/2016,"{""209.5"": {""label"": 209.5, ""odds_over"": 1.92, ""odds_under"": 1.92}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-31,Golden State Warriors,Oklahoma City Thunder,,96,1.29,3.70,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-oklahoma-city-thunder-hvHq6qa0/,nba,NBA,2015/2016,"{""218.5"": {""label"": 218.5, ""odds_over"": 1.88, ""odds_under"": 1.94}}",
2016-05-29,Oklahoma City Thunder,Golden State Warriors,101,108,1.62,2.38,https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-golden-state-warriors-pbagw6Aq/,nba,NBA,2015/2016,"{""220.5"": {""label"": 220.5, ""odds_over"": 1.8, ""odds_under"": 2.06}, ""221.5"": {""label"": 221.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-28,Toronto Raptors,Cleveland Cavaliers,87,113,3.30,1.35,https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-cleveland-cavaliers-rw17RQSh/,nba,NBA,2015/2016,"{""197.5"": {""label"": 197.5, ""odds_over"": 1.91, ""odds_under"": 1.91}, ""198.5"": {""label"": 198.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-27,Golden State Warriors,Oklahoma City Thunder,,120,1.27,3.93,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-oklahoma-city-thunder-0CIPem06/,nba,NBA,2015/2016,"{""219.5"": {""label"": 219.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-26,Cleveland Cavaliers,Toronto Raptors,,116,1.11,7.05,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-toronto-raptors-GbkRuhpA/,nba,NBA,2015/2016,"{""196.5"": {""label"": 196.5, ""odds_over"": 1.92, ""odds_under"": 1.92}}",
2016-05-25,Oklahoma City Thunder,Golden State Warriors,,118,2.04,1.82,https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-golden-state-warriors-O0nBcuuR/,nba,NBA,2015/2016,"{""221.5"": {""label"": 221.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-24,Toronto Raptors,Cleveland Cavaliers,,105,3.15,1.38,https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-cleveland-cavaliers-vamP6e8R/,nba,NBA,2015/2016,"{""196.5"": {""label"": 196.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""197.5"": {""label"": 197.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2016-05-23,Oklahoma City Thunder,Golden State Warriors,,133,2.26,1.67,https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-golden-state-warriors-pAm7bLPK/,nba,NBA,2015/2016,"{""219.5"": {""label"": 219.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""220.5"": {""label"": 220.5, ""odds_over"": 1.92, ""odds_under"": 1.92}}",
2016-05-22,Toronto Raptors,Cleveland Cavaliers,,99,3.25,1.36,https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-cleveland-cavaliers-dzbK7ygL/,nba,NBA,2015/2016,"{""199.5"": {""label"": 199.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2016-05-20,Cleveland Cavaliers,Toronto Raptors,,108,1.08,8.58,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-toronto-raptors-IqaG8HwF/,nba,NBA,2015/2016,"{""197.5"": {""label"": 197.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-19,Golden State Warriors,Oklahoma City Thunder,,118,1.21,4.68,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-oklahoma-city-thunder-jml3a1AE/,nba,NBA,2015/2016,"{""222.5"": {""label"": 222.5, ""odds_over"": 1.9, ""odds_under"": 1.92}}",
2016-05-18,Cleveland Cavaliers,Toronto Raptors,,115,1.10,7.40,https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-toronto-raptors-lAfC9cO8/,nba,NBA,2015/2016,"{""197.5"": {""label"": 197.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""198.5"": {""label"": 198.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""199.5"": {""label"": 199.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""201.5"": {""label"": 201.5, ""odds_over"": 1.97, ""odds_under"": 1.87}}",
2016-05-17,Golden State Warriors,Oklahoma City Thunder,102,108,1.25,4.18,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-oklahoma-city-thunder-vDpa0se8/,nba,NBA,2015/2016,"{""225.5"": {""label"": 225.5, ""odds_over"": 1.92, ""odds_under"": 1.9}}",
2016-05-15,Toronto Raptors,Miami Heat,,116,1.50,2.70,https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-miami-heat-CvYWzyDa/,nba,NBA,2015/2016,"{""187.5"": {""label"": 187.5, ""odds_over"": 1.92, ""odds_under"": 1.92}, ""188.5"": {""label"": 188.5, ""odds_over"": 1.9, ""odds_under"": 1.9}}",
2016-05-14,Miami Heat,Toronto Raptors,,103,1.57,2.48,https://www.oddsportal.com/basketball/usa/nba-2015-2016/miami-heat-toronto-raptors-xK8cbGz6/,nba,NBA,2015/2016,"{""188.5"": {""label"": 188.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""189.5"": {""label"": 189.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""190.5"": {""label"": 190.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2016-05-13,Oklahoma City Thunder,San Antonio Spurs,,113,1.96,1.87,https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-san-antonio-spurs-dh1FvLpn/,nba,NBA,2015/2016,"{""197.5"": {""label"": 197.5, ""odds_over"": 1.9, ""odds_under"": 1.92}}",
2016-05-12,Golden State Warriors,Portland Trail Blazers,,125,1.07,9.53,https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-portland-trail-blazers-niN6U6nb/,nba,NBA,2015/2016,"{""216.5"": {""label"": 216.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""217.5"": {""label"": 217.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2016-05-12,Toronto Raptors,Miami Heat,,99,1.47,2.75,https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-miami-heat-ncCpu5LU/,nba,NBA,2015/2016,"{""187.5"": {""label"": 187.5, ""odds_over"": 1.73, ""odds_under"": 1.73}, ""188.5"": {""label"": 188.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2016-05-11,San Antonio Spurs,Oklahoma City Thunder,91,95,1.28,3.80,https://www.oddsportal.com/basketball/usa/nba-2015-2016/san-antonio-spurs-oklahoma-city-thunder-p6BdWI3A/,nba,NBA,2015/2016,"{""199.5"": {""label"": 199.5, ""odds_over"": 1.73, ""odds_under"": 1.73}}",
2016-05-10,Portland Trail Blazers,Golden State Warriors,125,132,3.18,1.38,https://www.oddsportal.com/basketball/usa/nba-2015-2016/portland-trail-blazers-golden-state-warriors-IaseJcTb/,nba,NBA,2015/2016,"{""215.5"": {""label"": 215.5, ""odds_over"": 1.91, ""odds_under"": 1.91}}",
2016-05-10,Miami Heat,Toronto Raptors,,94,1.48,2.73,https://www.oddsportal.com/basketball/usa/nba-2015-2016/miami-heat-toronto-raptors-tjz6kIaQ/,nba,NBA,2015/2016,"{""193.5"": {""label"": 193.5, ""odds_over"": 1.92, ""odds_under"": 1.92}}",
2016-05-09,Oklahoma City Thunder,San Antonio Spurs,,111,1.77,2.10,https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-san-antonio-spurs-SleNXrzf/,nba,NBA,2015/2016,"{""198.5"": {""label"": 198.5, ""odds_over"": 1.9, ""odds_under"": 1.94}}",
