date,home_team,away_team,home_score,away_score,home_odds,away_odds,url,sport,tournament,season,handicap,comment
2022-06-17,Boston Celtics,Golden State Warriors,90,103,1.56,2.55,https://www.oddsportal.com/basketball/usa/nba-2021-2022/boston-celtics-golden-state-warriors-j3bM4Y8o/,nba,NBA,2021/2022,"{""200.5"": {""label"": 200.5, ""odds_over"": 1.3, ""odds_under"": 3.35}, ""201.5"": {""label"": 201.5, ""odds_over"": 1.33, ""odds_under"": 3.15}, ""202.5"": {""label"": 202.5, ""odds_over"": 1.38, ""odds_under"": 2.95}, ""203.5"": {""label"": 203.5, ""odds_over"": 1.41, ""odds_under"": 2.8}, ""204.5"": {""label"": 204.5, ""odds_over"": 1.46, ""odds_under"": 2.6}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.54, ""odds_under"": 2.4}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.67, ""odds_under"": 2.15}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.73, ""odds_under"": 2.06}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""213.5"": {""label"": 213.5, ""odds_over"": 2.06, ""odds_under"": 1.73}, ""214.5"": {""label"": 214.5, ""odds_over"": 2.19, ""odds_under"": 1.65}, ""215.5"": {""label"": 215.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.4, ""odds_under"": 1.53}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.6, ""odds_under"": 1.47}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.75, ""odds_under"": 1.43}, ""219.5"": {""label"": 219.5, ""odds_over"": 2.9, ""odds_under"": 1.39}, ""220.5"": {""label"": 220.5, ""odds_over"": 3.1, ""odds_under"": 1.35}, ""221.5"": {""label"": 221.5, ""odds_over"": 3.3, ""odds_under"": 1.31}, ""222.5"": {""label"": 222.5, ""odds_over"": 3.55, ""odds_under"": 1.27}}",
2022-06-14,Golden State Warriors,Boston Celtics,,104,1.59,2.45,https://www.oddsportal.com/basketball/usa/nba-2021-2022/golden-state-warriors-boston-celtics-WE3WXoh3/,nba,NBA,2021/2022,"{""202.5"": {""label"": 202.5, ""odds_over"": 1.4, ""odds_under"": 2.8}, ""203.5"": {""label"": 203.5, ""odds_over"": 1.44, ""odds_under"": 2.65}, ""204.5"": {""label"": 204.5, ""odds_over"": 1.47, ""odds_under"": 2.6}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.53, ""odds_under"": 2.4}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.57, ""odds_under"": 2.34}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.65, ""odds_under"": 2.19}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.7, ""odds_under"": 2.1}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.77, ""odds_under"": 2.01}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.84, ""odds_under"": 1.92}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.92, ""odds_under"": 1.84}, ""212.5"": {""label"": 212.5, ""odds_over"": 2.01, ""odds_under"": 1.77}, ""213.5"": {""label"": 213.5, ""odds_over"": 2.15, ""odds_under"": 1.67}, ""214.5"": {""label"": 214.5, ""odds_over"": 2.25, ""odds_under"": 1.61}, ""215.5"": {""label"": 215.5, ""odds_over"": 2.4, ""odds_under"": 1.54}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.45, ""odds_under"": 1.51}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.6, ""odds_under"": 1.46}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.8, ""odds_under"": 1.4}, ""219.5"": {""label"": 219.5, ""odds_over"": 3.0, ""odds_under"": 1.37}}",
2022-06-11,Boston Celtics,Golden State Warriors,97,107,1.59,2.45,https://www.oddsportal.com/basketball/usa/nba-2021-2022/boston-celtics-golden-state-warriors-CSmR5yFR/,nba,NBA,2021/2022,"{""206.5"": {""label"": 206.5, ""odds_over"": 1.46, ""odds_under"": 2.6}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.54, ""odds_under"": 2.4}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.67, ""odds_under"": 2.15}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.73, ""odds_under"": 2.06}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""215.5"": {""label"": 215.5, ""odds_over"": 2.06, ""odds_under"": 1.73}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.19, ""odds_under"": 1.65}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.4, ""odds_under"": 1.53}, ""219.5"": {""label"": 219.5, ""odds_over"": 2.6, ""odds_under"": 1.47}, ""220.5"": {""label"": 220.5, ""odds_over"": 2.75, ""odds_under"": 1.43}}",
2022-06-09,Boston Celtics,Golden State Warriors,,116,1.63,2.35,https://www.oddsportal.com/basketball/usa/nba-2021-2022/boston-celtics-golden-state-warriors-U3bM6HaL/,nba,NBA,2021/2022,"{""204.5"": {""label"": 204.5, ""odds_over"": 1.34, ""odds_under"": 3.15}, ""205.5"": {""label"": 205.5, ""odds_over"": 1.38, ""odds_under"": 2.95}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.43, ""odds_under"": 2.75}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.46, ""odds_under"": 2.6}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.54, ""odds_under"": 2.4}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.67, ""odds_under"": 2.15}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.73, ""odds_under"": 2.06}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""215.5"": {""label"": 215.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.06, ""odds_under"": 1.73}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.19, ""odds_under"": 1.65}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""219.5"": {""label"": 219.5, ""odds_over"": 2.4, ""odds_under"": 1.53}, ""220.5"": {""label"": 220.5, ""odds_over"": 2.6, ""odds_under"": 1.47}, ""221.5"": {""label"": 221.5, ""odds_over"": 2.75, ""odds_under"": 1.43}, ""222.5"": {""label"": 222.5, ""odds_over"": 2.9, ""odds_under"": 1.39}, ""223.5"": {""label"": 223.5, ""odds_over"": 3.1, ""odds_under"": 1.35}, ""224.5"": {""label"": 224.5, ""odds_over"": 3.25, ""odds_under"": 1.32}}",
2022-06-06,Golden State Warriors,Boston Celtics,,107,1.46,2.63,https://www.oddsportal.com/basketball/usa/nba-2021-2022/golden-state-warriors-boston-celtics-jDaI7cpF/,nba,NBA,2021/2022,"{""209.5"": {""label"": 209.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.68, ""odds_under"": 2.14}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.71, ""odds_under"": 2.09}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.84, ""odds_under"": 1.92}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.83, ""odds_under"": 1.83}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.95, ""odds_under"": 1.81}, ""215.5"": {""label"": 215.5, ""odds_over"": 2.09, ""odds_under"": 1.71}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.14, ""odds_under"": 1.68}}",
2022-06-03,Golden State Warriors,Boston Celtics,108,120,1.60,2.43,https://www.oddsportal.com/basketball/usa/nba-2021-2022/golden-state-warriors-boston-celtics-MweE8wV8/,nba,NBA,2021/2022,"{""207.5"": {""label"": 207.5, ""odds_over"": 1.47, ""odds_under"": 2.6}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.54, ""odds_under"": 2.4}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.67, ""odds_under"": 2.15}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.73, ""odds_under"": 2.06}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.88, ""odds_under"": 1.88}, ""215.5"": {""label"": 215.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.1, ""odds_under"": 1.7}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.19, ""odds_under"": 1.65}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""219.5"": {""label"": 219.5, ""odds_over"": 2.4, ""odds_under"": 1.53}, ""220.5"": {""label"": 220.5, ""odds_over"": 2.6, ""odds_under"": 1.47}}",
2022-05-30,Miami Heat,Boston Celtics,96,100,2.30,1.65,https://www.oddsportal.com/basketball/usa/nba-2021-2022/miami-heat-boston-celtics-rT3Y12F8/,nba,NBA,2021/2022,"{""189.5"": {""label"": 189.5, ""odds_over"": 1.39, ""odds_under"": 2.9}, ""190.5"": {""label"": 190.5, ""odds_over"": 1.44, ""odds_under"": 2.65}, ""191.5"": {""label"": 191.5, ""odds_over"": 1.49, ""odds_under"": 2.55}, ""192.5"": {""label"": 192.5, ""odds_over"": 1.53, ""odds_under"": 2.4}, ""193.5"": {""label"": 193.5, ""odds_over"": 1.59, ""odds_under"": 2.3}, ""194.5"": {""label"": 194.5, ""odds_over"": 1.65, ""odds_under"": 2.19}, ""195.5"": {""label"": 195.5, ""odds_over"": 1.7, ""odds_under"": 2.1}, ""196.5"": {""label"": 196.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""197.5"": {""label"": 197.5, ""odds_over"": 1.88, ""odds_under"": 1.88}, ""198.5"": {""label"": 198.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""199.5"": {""label"": 199.5, ""odds_over"": 2.06, ""odds_under"": 1.73}, ""200.5"": {""label"": 200.5, ""odds_over"": 2.15, ""odds_under"": 1.67}, ""201.5"": {""label"": 201.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""202.5"": {""label"": 202.5, ""odds_over"": 2.4, ""odds_under"": 1.54}, ""203.5"": {""label"": 203.5, ""odds_over"": 2.55, ""odds_under"": 1.49}, ""204.5"": {""label"": 204.5, ""odds_over"": 2.75, ""odds_under"": 1.43}, ""205.5"": {""label"": 205.5, ""odds_over"": 2.9, ""odds_under"": 1.39}, ""206.5"": {""label"": 206.5, ""odds_over"": 3.15, ""odds_under"": 1.33}}",
2022-05-28,Boston Celtics,Miami Heat,103,111,1.24,4.23,https://www.oddsportal.com/basketball/usa/nba-2021-2022/boston-celtics-miami-heat-jgD1CVDR/,nba,NBA,2021/2022,"{""196.5"": {""label"": 196.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""197.5"": {""label"": 197.5, ""odds_over"": 1.57, ""odds_under"": 2.34}, ""198.5"": {""label"": 198.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""199.5"": {""label"": 199.5, ""odds_over"": 1.7, ""odds_under"": 2.1}, ""200.5"": {""label"": 200.5, ""odds_over"": 1.77, ""odds_under"": 2.01}, ""201.5"": {""label"": 201.5, ""odds_over"": 1.89, ""odds_under"": 1.92}, ""202.5"": {""label"": 202.5, ""odds_over"": 1.92, ""odds_under"": 1.84}, ""203.5"": {""label"": 203.5, ""odds_over"": 2.01, ""odds_under"": 1.77}, ""204.5"": {""label"": 204.5, ""odds_over"": 2.15, ""odds_under"": 1.67}, ""205.5"": {""label"": 205.5, ""odds_over"": 2.25, ""odds_under"": 1.61}, ""206.5"": {""label"": 206.5, ""odds_over"": 2.4, ""odds_under"": 1.54}}",
2022-05-27,Golden State Warriors,Dallas Mavericks,,120,1.33,3.40,https://www.oddsportal.com/basketball/usa/nba-2021-2022/golden-state-warriors-dallas-mavericks-OtIg2e4e/,nba,NBA,2021/2022,"{""205.5"": {""label"": 205.5, ""odds_over"": 1.34, ""odds_under"": 3.15}, ""206.5"": {""label"": 206.5, ""odds_over"": 1.38, ""odds_under"": 2.95}, ""207.5"": {""label"": 207.5, ""odds_over"": 1.43, ""odds_under"": 2.75}, ""208.5"": {""label"": 208.5, ""odds_over"": 1.47, ""odds_under"": 2.6}, ""209.5"": {""label"": 209.5, ""odds_over"": 1.53, ""odds_under"": 2.4}, ""210.5"": {""label"": 210.5, ""odds_over"": 1.57, ""odds_under"": 2.34}, ""211.5"": {""label"": 211.5, ""odds_over"": 1.61, ""odds_under"": 2.25}, ""212.5"": {""label"": 212.5, ""odds_over"": 1.7, ""odds_under"": 2.1}, ""213.5"": {""label"": 213.5, ""odds_over"": 1.77, ""odds_under"": 2.01}, ""214.5"": {""label"": 214.5, ""odds_over"": 1.84, ""odds_under"": 1.92}, ""215.5"": {""label"": 215.5, ""odds_over"": 1.92, ""odds_under"": 1.84}, ""216.5"": {""label"": 216.5, ""odds_over"": 2.01, ""odds_under"": 1.77}, ""217.5"": {""label"": 217.5, ""odds_over"": 2.15, ""odds_under"": 1.67}, ""218.5"": {""label"": 218.5, ""odds_over"": 2.25, ""odds_under"": 1.61}, ""219.5"": {""label"": 219.5, ""odds_over"": 2.34, ""odds_under"": 1.57}, ""220.5"": {""label"": 220.5, ""odds_over"": 2.45, ""odds_under"": 1.51}, ""221.5"": {""label"": 221.5, ""odds_over"": 2.6, ""odds_under"": 1.46}, ""222.5"": {""label"": 222.5, ""odds_over"": 2.8, ""odds_under"": 1.41}, ""223.5"": {""label"": 223.5, ""odds_over"": 3.0, ""odds_under"": 1.37}, ""224.5"": {""label"": 224.5, ""odds_over"": 3.15, ""odds_under"": 1.33}}",
2022-05-26,Miami Heat,Boston Celtics,80,93,2.43,1.61,https://www.oddsportal.com/basketball/usa/nba-2021-2022/miami-heat-boston-celtics-A9SMdqF0/,nba,NBA,2021/2022,"{""193.5"": {""label"": 193.5, ""odds_over"": 1.34, ""odds_under"": 3.15}, ""194.5"": {""label"": 194.5, ""odds_over"": 1.38, ""odds_under"": 2.95}, ""195.5"": {""label"": 195.5, ""odds_over"": 1.41, ""odds_under"": 2.8}, ""196.5"": {""label"": 196.5, ""odds_over"": 1.46, ""odds_under"": 2.6}, ""197.5"": {""label"": 197.5, ""odds_over"": 1.51, ""odds_under"": 2.45}, ""198.5"": {""label"": 198.5, ""odds_over"": 1.54, ""odds_under"": 2.4}, ""199.5"": {""label"": 199.5, ""odds_over"": 1.59, ""odds_under"": 2.3}, ""200.5"": {""label"": 200.5, ""odds_over"": 1.67, ""odds_under"": 2.15}, ""201.5"": {""label"": 201.5, ""odds_over"": 1.73, ""odds_under"": 2.06}, ""202.5"": {""label"": 202.5, ""odds_over"": 1.8, ""odds_under"": 1.97}, ""203.5"": {""label"": 203.5, ""odds_over"": 1.9, ""odds_under"": 1.9}, ""204.5"": {""label"": 204.5, ""odds_over"": 1.97, ""odds_under"": 1.8}, ""205.5"": {""label"": 205.5, ""odds_over"": 2.06, ""odds_under"": 1.73}, ""206.5"": {""label"": 206.5, ""odds_over"": 2.19, ""odds_under"": 1.65}, ""207.5"": {""label"": 207.5, ""odds_over"": 2.3, ""odds_under"": 1.59}, ""208.5"": {""label"": 208.5, ""odds_over"": 2.4, ""odds_under"": 1.53}, ""209.5"": {""label"": 209.5, ""odds_over"": 2.6, ""odds_under"": 1.46}, ""210.5"": {""label"": 210.5, ""odds_over"": 2.8, ""odds_under"": 1.41}, ""211.5"": {""label"": 211.5, ""odds_over"": 3.0, ""odds_under"": 1.37}, ""212.5"": {""label"": 212.5, ""odds_over"": 3.25, ""odds_under"": 1.32}, ""213.5"": {""label"": 213.5, ""odds_over"": 3.45, ""odds_under"": 1.29}}",
