id,full_name,first_name,last_name,is_active,in_boxscore,nb_appearances
76001,Alaa Abdelnaby,Alaa,Abdelnaby,False,False,0
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False,False,0
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False,False,0
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False,False,0
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False,False,0
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False,False,0
76005,Tom Abernethy,Tom,Abernethy,False,False,0
76006,Forest Able,Forest,Able,False,False,0
76007,John Abramovic,John,Abramovic,False,False,0
203518,Alex Abrines,Alex,Abrines,False,True,50
1630173,Precious Achiuwa,Precious,Achiuwa,True,False,0
101165,Alex Acker,Alex,Acker,False,False,0
76008,Donald Ackerman,Donald,Ackerman,False,False,0
76009,Mark Acres,Mark,Acres,False,False,0
76010,Charles Acton,Charles,Acton,False,False,0
203112,Quincy Acy,Quincy,Acy,False,True,95
76011,Alvan Adams,Alvan,Adams,False,False,0
76012,Don Adams,Don,Adams,False,False,0
200801,Hassan Adams,Hassan,Adams,False,False,0
1629121,Jaylen Adams,Jaylen,Adams,False,False,0
203919,Jordan Adams,Jordan,Adams,False,True,17
149,Michael Adams,Michael,Adams,False,False,0
203500,Steven Adams,Steven,Adams,True,True,143
912,Rafael Addison,Rafael,Addison,False,False,0
1628389,Bam Adebayo,Bam,Adebayo,True,False,0
1629061,Deng Adel,Deng,Adel,False,False,0
76015,Rick Adelman,Rick,Adelman,False,False,0
202399,Jeff Adrien,Jeff,Adrien,False,False,0
201167,Arron Afflalo,Arron,Afflalo,False,True,113
1630534,Ochai Agbaji,Ochai,Agbaji,True,False,0
200772,Maurice Ager,Maurice,Ager,False,False,0
76016,Mark Aguirre,Mark,Aguirre,False,False,0
201336,Blake Ahearn,Blake,Ahearn,False,False,0
76017,Danny Ainge,Danny,Ainge,False,False,0
201582,Alexis Ajinca,Alexis,Ajinca,False,True,117
76018,Henry Akin,Henry,Akin,False,False,0
203006,Josh Akognon,Josh,Akognon,False,False,0
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,False,False,0
202374,Solomon Alabi,Solomon,Alabi,False,False,0
76019,Mark Alarie,Mark,Alarie,False,False,0
76020,Gary Alcorn,Gary,Alcorn,False,False,0
1630583,Santi Aldama,Santi,Aldama,True,False,0
203128,Furkan Aldemir,Furkan,Aldemir,False,False,0
202332,Cole Aldrich,Cole,Aldrich,False,True,126
200746,LaMarcus Aldridge,LaMarcus,Aldridge,False,True,124
76021,Chuck Aleksinas,Chuck,Aleksinas,False,False,0
1626146,Cliff Alexander,Cliff,Alexander,False,True,20
724,Cory Alexander,Cory,Alexander,False,False,0
2042,Courtney Alexander,Courtney,Alexander,False,False,0
76022,Gary Alexander,Gary,Alexander,False,False,0
201570,Joe Alexander,Joe,Alexander,False,False,0
1629734,Kyle Alexander,Kyle,Alexander,False,False,0
1641725,Trey Alexander,Trey,Alexander,True,False,0
1630234,Ty-Shon Alexander,Ty-Shon,Alexander,False,False,0
2349,Victor Alexander,Victor,Alexander,False,False,0
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,False,0
76024,Steve Alford,Steve,Alford,False,False,0
1628959,Rawle Alkins,Rawle,Alkins,False,False,0
76028,Bob Allen,Bob,Allen,False,False,0
1628960,Grayson Allen,Grayson,Allen,True,False,0
1628386,Jarrett Allen,Jarrett,Allen,True,False,0
706,Jerome Allen,Jerome,Allen,False,False,0
1628443,Kadeem Allen,Kadeem,Allen,False,False,0
202730,Lavoy Allen,Lavoy,Allen,False,True,126
76027,Lucius Allen,Lucius,Allen,False,False,0
2124,Malik Allen,Malik,Allen,False,False,0
76025,Randy Allen,Randy,Allen,False,False,0
951,Ray Allen,Ray,Allen,False,False,0
1641851,Timmy Allen,Timmy,Allen,False,False,0
2754,Tony Allen,Tony,Allen,False,True,120
76029,Odis Allison,Odis,Allison,False,False,0
200984,Lance Allred,Lance,Allred,False,False,0
76030,Darrell Allums,Darrell,Allums,False,False,0
201165,Morris Almond,Morris,Almond,False,False,0
308,Derrick Alston,Derrick,Alston,False,False,0
1747,Rafer Alston,Rafer,Alston,False,False,0
1824,Peter Aluma,Peter,Aluma,False,False,0
1630631,Jose Alvarado,Jose,Alvarado,True,False,0
680,John Amaechi,John,Amaechi,False,False,0
732,Ashraf Amaya,Ashraf,Amaya,False,False,0
202329,Al-Farouq Aminu,Al-Farouq,Aminu,False,True,113
200811,Lou Amundson,Lou,Amundson,False,True,59
76034,Bob Anderegg,Bob,Anderegg,False,False,0
2365,Chris Andersen,Chris,Andersen,False,True,96
2431,David Andersen,David,Andersen,False,False,0
