date,team,odds,prob,ev,stake,won,gain,bankroll
,miami heat,1.57,0.6583023892946914,0.03353475119266558,50.0,1,28.500000000000004,1028.5
,chicago bulls,1.94,0.5563153406814493,0.07925176092201158,51.425000000000004,0,-51.425000000000004,977.075
,houston rockets,6.85,0.1726659298570702,0.18276161952093062,30.525095622805694,0,-30.525095622805694,946.5499043771944
,memphis grizzlies,2.65,0.52152889794706,0.38205157955970903,47.327495218859724,0,-47.327495218859724,899.2224091583346
,denver nuggets,1.19,0.7486339191572874,-0.10912563620282806,0.0,1,0.0,899.2224091583346
,los angeles clippers,1.67,0.5902574768393611,-0.014270013678266913,0.0,1,0.0,899.2224091583346
,los angeles lakers,1.53,0.6261645116184646,-0.04196829722374906,0.0,0,-0.0,899.2224091583346
,charlotte hornets,4.2,0.3620204478389809,0.52048588092372,44.961120457916735,1,143.87558546533356,1043.0979946236682
,cleveland cavaliers,1.59,0.6568860243565064,0.04444877872684533,52.15489973118341,1,30.77139084139822,1073.8693854650664
,utah jazz,3.42,0.4338516276659261,0.48377256661746726,53.69346927325333,1,129.93819564127304,1203.8075811063395
,oklahoma city thunder,4.18,0.32823331768057523,0.3720152679048043,60.19037905531698,0,-60.19037905531698,1143.6172020510226
,golden state warriors,1.18,0.7981970261461695,-0.058127509147520046,0.0,1,0.0,1143.6172020510226
,los angeles clippers,1.88,0.5639173419930825,0.060164602946995105,57.18086010255113,0,-57.18086010255113,1086.4363419484714
,indiana pacers,6.17,0.28696573562696504,0.7705785888183743,54.321817097423576,0,-54.321817097423576,1032.114524851048
,miami heat,1.55,0.6443552565306322,-0.0012493523775200521,0.0,0,-0.0,1032.114524851048
,new york knicks,1.28,0.8036388295430399,0.028657701815091086,51.6057262425524,1,14.449603347914673,1046.5641281989626
,chicago bulls,2.68,0.34438229531892905,-0.07705544854527013,0.0,1,0.0,1046.5641281989626
,utah jazz,1.68,0.6883407531018787,0.15641246521115615,52.32820640994814,0,-52.32820640994814,994.2359217890145
,memphis grizzlies,1.8,0.6951245565432876,0.2512242017779178,49.71179608945073,1,39.769436871560586,1034.005358660575
,san antonio spurs,3.5,0.28633601543882886,0.0021760540359009317,0.9000206135426139,1,2.2500515338565346,1036.2554101944315
,portland trail blazers,2.54,0.3174885734210961,-0.19357902351041584,0.0,1,0.0,1036.2554101944315
,washington wizards,1.41,0.6399730480855379,-0.09763800219939162,0.0,1,0.0,1036.2554101944315
,new orleans pelicans,2.61,0.564070769822979,0.4722247092379751,51.81277050972158,1,83.41856052065174,1119.6739707150832
,los angeles clippers,1.43,0.6429048044172078,-0.08064612968339296,0.0,0,-0.0,1119.6739707150832
,phoenix suns,1.73,0.5705490348034992,-0.012950169789946453,0.0,1,0.0,1119.6739707150832
,cleveland cavaliers,1.25,0.7847469704887521,-0.019066286889059897,0.0,1,0.0,1119.6739707150832
,detroit pistons,3.36,0.37937960115026975,0.2747154598649063,55.983698535754165,0,-55.983698535754165,1063.690272179329
,charlotte hornets,3.26,0.4445501388128846,0.44923345253000346,53.184513608966455,0,-53.184513608966455,1010.5057585703626
,toronto raptors,1.87,0.5437224759403361,0.01676103000842849,19.467950969066255,1,16.937117343087642,1027.4428759134503
,milwaukee bucks,1.61,0.6436605086125536,0.0362934188662114,51.372143795672514,1,31.33700771536024,1058.7798836288105
,indiana pacers,3.3,0.3047218050347438,0.0055819566146544375,2.5695927716890847,0,-2.5695927716890847,1056.2102908571214
,san antonio spurs,3.88,0.28829749797642407,0.11859429214852535,43.49323326534319,0,-43.49323326534319,1012.7170575917783
,utah jazz,1.25,0.833724701551937,0.04215587693992126,50.63585287958892,1,12.65896321989723,1025.3760208116755
,denver nuggets,1.45,0.6988319066625505,0.01330626466069812,30.31983268811924,1,13.643924709653657,1039.0199455213292
,miami heat,1.64,0.530328720825374,-0.13026089784638673,0.0,1,0.0,1039.0199455213292
,dallas mavericks,1.66,0.6574257127036289,0.09132668308802394,51.95099727606646,1,34.28765820220386,1073.307603723533
,oklahoma city thunder,3.17,0.36804196192395844,0.1666930192989482,53.665380186176655,1,116.45387500400334,1189.7614787275363
,miami heat,2.71,0.3576206798632575,-0.030847957570572127,0.0,0,-0.0,1189.7614787275363
,memphis grizzlies,1.64,0.6346614956544614,0.04084485287331663,59.48807393637682,1,38.07236731928116,1227.8338460468174
,detroit pistons,2.77,0.3566610436238437,-0.012048909161952892,0.0,0,-0.0,1227.8338460468174
,charlotte hornets,1.75,0.6022787018294211,0.05398772820148695,61.39169230234087,0,-61.39169230234087,1166.4421537444764
,cleveland cavaliers,3.1,0.3331525928317185,0.03277303777832741,18.20373941471491,1,38.227852770901315,1204.6700065153777
