date,game_id,team,odds,prob,ev,stake,won,gain,bankroll,comment,prob_book,opp_prob_book,prob_book_norm,prob_diff_vs_book,season
2021-10-19,22100001,brooklyn nets,1.98,0.5387327140659761,0.0666907738506326,0.0,0,0.0,1000.0,prob_diff_vs_book hors range (0.061),0.5050505050505051,0.5524861878453039,0.47757255936675463,0.06116015469922148,
2021-10-19,22100002,golden state warriors,2.48,0.42951056622936873,0.06518620424883448,0.0,1,0.0,1000.0,prob_diff_vs_book hors range (0.048),0.40322580645161293,0.6535947712418301,0.3815461346633417,0.04796443156602703,
2021-10-20,22100003,charlotte hornets,1.88,0.5025323829401284,-0.05523912007255871,0.0,1,0.0,1000.0,prob_diff_vs_book hors range (0.003),0.5319148936170213,0.5319148936170213,0.5,0.0025323829401283637,
2021-10-20,22100004,chicago bulls,1.53,0.6479756200241497,-0.008597301363051035,0.0,1,0.0,1000.0,prob_diff_vs_book hors range (0.031),0.6535947712418301,0.4065040650406504,0.6165413533834586,0.031434266640691044,
2021-10-20,22100005,new york knicks,1.72,0.633358078057694,0.08937589425923353,124.13318647115777,1,89.37589425923359,1089.3758942592335,bet placed,0.5813953488372093,0.4854368932038835,0.544973544973545,0.08838453308414895,2021-22
2021-10-20,22100006,washington wizards,2.2,0.4001309379098306,-0.11971193659837254,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.025),0.45454545454545453,0.6134969325153374,0.42558746736292424,-0.025456529453093624,
2021-10-20,22100007,memphis grizzlies,1.27,0.741811366410654,-0.05789956465846935,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.002),0.7874015748031495,0.27624309392265195,0.7402862985685071,0.0015250678421468988,
2021-10-20,22100008,minnesota timberwolves,1.41,0.6542007258566586,-0.07757697654211149,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.012),0.7092198581560284,0.35587188612099646,0.6658767772511848,-0.01167605139452621,
2021-10-20,22100009,philadelphia 76ers,1.64,0.617462905711087,0.012639165366182592,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.042),0.6097560975609756,0.4504504504504504,0.5751295336787565,0.04233337203233045,
2021-10-20,22100010,orlando magic,2.95,0.36124546996484574,0.06567413639629494,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.044),0.3389830508474576,0.7299270072992701,0.3171296296296296,0.04411584033521615,
2021-10-20,22100011,oklahoma city thunder,7.5,0.12276709993612163,-0.0792467504790878,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.003),0.13333333333333333,0.9259259259259258,0.1258741258741259,-0.003107025938004257,
2021-10-20,22100012,phoenix suns,1.35,0.7441715165546499,0.004631547348777465,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.054),0.7407407407407407,0.33222591362126247,0.6903669724770642,0.053804544077585614,
2021-10-20,22100013,sacramento kings,2.94,0.37502075630949283,0.10256102354990881,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.056),0.3401360544217687,0.7246376811594204,0.3194444444444444,0.05557631186504841,
2021-10-21,22100014,atlanta hawks,1.64,0.6121536898127984,0.003932051292989236,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.055),0.6097560975609756,0.4854368932038835,0.5567567567567568,0.05539693305604154,
2021-10-21,22100015,miami heat,1.73,0.5278766619976377,-0.08677337474408675,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.003),0.5780346820809249,0.5102040816326531,0.5311653116531165,-0.0032886496554788147,
2021-10-21,22100016,los angeles clippers,2.26,0.42536523788619285,-0.038674562377204236,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.022),0.4424778761061947,0.6535947712418301,0.40369393139841686,0.021671306487775988,
2021-10-22,22100017,charlotte hornets,1.66,0.5794336279941359,-0.03814017752973442,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.034),0.6024096385542169,0.5025125628140703,0.5452054794520549,0.034228148542081005,
2021-10-22,22100018,new york knicks,1.23,0.7829238982715722,-0.03700360512596623,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.049),0.8130081300813008,0.2949852507374631,0.7337662337662338,0.04915766450533832,
2021-10-22,22100019,indiana pacers,1.63,0.4924628883606855,-0.19728549197208267,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.056),0.6134969325153374,0.5050505050505051,0.5484764542936288,-0.056013565932943266,
2021-10-22,22100020,toronto raptors,3.15,0.324445104521339,0.022002079242217754,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.037),0.31746031746031744,0.7874015748031495,0.2873303167420814,0.037114787779257585,
2021-10-22,22100021,brooklyn nets,1.75,0.5641363596950756,-0.0127613705336177,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.050),0.5714285714285714,0.5405405405405405,0.5138888888888888,0.050247470806186745,
2021-10-22,22100022,chicago bulls,1.33,0.7187719823459078,-0.04403326347994263,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.042),0.7518796992481203,0.35842293906810035,0.6771844660194174,0.04158751632649038,
2021-10-22,22100023,oklahoma city thunder,2.18,0.38660246650991104,-0.15720662300839383,0.0,0,0.0,1089.3758942592335,prob_diff_vs_book hors range (-0.029),0.4587155963302752,0.6451612903225806,0.4155495978552278,-0.02894713134531679,
2021-10-22,22100024,denver nuggets,1.23,0.758318922347202,-0.06726772551294158,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.028),0.8130081300813008,0.3003003003003003,0.730263157894737,0.02805576445246505,
2021-10-22,22100025,phoenix suns,1.72,0.558755603699676,-0.03894036163655723,0.0,1,0.0,1089.3758942592335,prob_diff_vs_book hors range (0.037),0.5813953488372093,0.5319148936170213,0.5222222222222221,0.036533381477453886,
