SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22000,1610612756,PHX,Phoenix Suns,0020000011,2000-10-31,PHX @ GSW,L,240,94,36,91,0.396,6,21,0.286,16,20,0.8,11,33,44,25,12,3,16,28,-2.0,2000-01
22000,1610612765,DET,Detroit Pistons,0020000005,2000-10-31,DET @ TOR,W,241,104,44,93,0.473,3,12,0.25,13,18,0.722,11,34,45,21,7,6,12,27,9.0,2000-01
22000,1610612742,DAL,Dallas Mavericks,0020000007,2000-10-31,DAL vs. MIL,W,240,97,35,88,0.398,9,25,0.36,18,27,0.667,20,32,52,22,9,9,17,26,4.0,2000-01
22000,1610612754,IND,Indiana Pacers,0020000009,2000-10-31,IND @ SAS,L,240,85,36,80,0.45,4,17,0.235,9,13,0.692,9,26,35,19,5,4,16,32,-13.0,2000-01
22000,1610612760,SEA,Seattle SuperSonics,0020000013,2000-10-31,SEA @ VAN,L,241,88,32,84,0.381,8,23,0.348,16,22,0.727,14,38,52,20,5,9,19,25,-6.0,2000-01
22000,1610612750,MIN,Minnesota Timberwolves,0020000008,2000-10-31,MIN @ HOU,W,239,106,43,88,0.489,6,11,0.545,14,16,0.875,13,31,44,29,7,1,15,25,8.0,2000-01
22000,1610612752,NYK,New York Knicks,0020000001,2000-10-31,NYK vs. PHI,L,238,72,25,70,0.357,3,11,0.273,19,24,0.792,14,23,37,14,6,4,22,30,-29.0,2000-01
22000,1610612764,WAS,Washington Wizards,0020000003,2000-10-31,WAS @ ORL,L,241,86,33,72,0.458,4,7,0.571,16,24,0.667,9,35,44,20,6,1,26,28,-11.0,2000-01
22000,1610612753,ORL,Orlando Magic,0020000003,2000-10-31,ORL vs. WAS,W,240,97,34,79,0.43,6,16,0.375,23,33,0.697,8,29,37,20,10,9,15,24,11.0,2000-01
22000,1610612757,POR,Portland Trail Blazers,0020000012,2000-10-31,POR vs. LAL,L,239,86,34,85,0.4,4,11,0.364,14,16,0.875,13,19,32,18,13,1,10,28,-10.0,2000-01
22000,1610612762,UTA,Utah Jazz,0020000010,2000-10-31,UTA vs. LAC,W,239,107,43,85,0.506,5,10,0.5,16,31,0.516,11,22,33,33,11,4,12,30,13.0,2000-01
22000,1610612751,NJN,New Jersey Nets,0020000002,2000-10-31,NJN vs. CLE,L,239,82,31,85,0.365,3,10,0.3,17,26,0.654,12,35,47,24,9,8,12,31,-4.0,2000-01
22000,1610612759,SAS,San Antonio Spurs,0020000009,2000-10-31,SAS vs. IND,W,241,98,33,64,0.516,4,8,0.5,28,35,0.8,5,32,37,17,6,4,18,22,13.0,2000-01
22000,1610612745,HOU,Houston Rockets,0020000008,2000-10-31,HOU vs. MIN,L,240,98,34,74,0.459,2,9,0.222,28,40,0.7,11,27,38,18,9,7,18,17,-8.0,2000-01
22000,1610612741,CHI,Chicago Bulls,0020000006,2000-10-31,CHI vs. SAC,L,240,81,26,67,0.388,6,8,0.75,23,29,0.793,7,22,29,19,8,4,19,20,-19.0,2000-01
22000,1610612739,CLE,Cleveland Cavaliers,0020000002,2000-10-31,CLE @ NJN,W,240,86,32,78,0.41,2,7,0.286,20,32,0.625,11,41,52,16,5,8,19,27,4.0,2000-01
22000,1610612763,VAN,Vancouver Grizzlies,0020000013,2000-10-31,VAN vs. SEA,W,241,94,39,90,0.433,4,14,0.286,12,26,0.462,14,37,51,28,12,6,11,21,6.0,2000-01
22000,1610612744,GSW,Golden State Warriors,0020000011,2000-10-31,GSW vs. PHX,W,239,96,32,79,0.405,4,8,0.5,28,38,0.737,14,41,55,18,11,5,21,22,2.0,2000-01
22000,1610612761,TOR,Toronto Raptors,0020000005,2000-10-31,TOR vs. DET,L,241,95,35,93,0.376,5,17,0.294,20,31,0.645,20,28,48,27,7,7,15,21,-9.0,2000-01
22000,1610612737,ATL,Atlanta Hawks,0020000004,2000-10-31,ATL vs. CHH,L,241,82,30,81,0.37,6,15,0.4,16,21,0.762,11,18,29,14,9,2,13,31,-24.0,2000-01
22000,1610612766,CHH,Charlotte Hornets,0020000004,2000-10-31,CHH @ ATL,W,239,106,35,62,0.565,5,9,0.556,31,40,0.775,7,37,44,16,7,6,17,23,24.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000001,2000-10-31,PHI @ NYK,W,240,101,38,66,0.576,3,8,0.375,22,30,0.733,8,29,37,27,10,5,13,24,29.0,2000-01
22000,1610612746,LAC,Los Angeles Clippers,0020000010,2000-10-31,LAC @ UTA,L,240,94,34,69,0.493,4,13,0.308,22,34,0.647,12,32,44,18,3,6,24,32,-13.0,2000-01
22000,1610612747,LAL,Los Angeles Lakers,0020000012,2000-10-31,LAL @ POR,W,239,96,36,63,0.571,5,11,0.455,19,30,0.633,8,31,39,28,5,8,20,18,10.0,2000-01
22000,1610612758,SAC,Sacramento Kings,0020000006,2000-10-31,SAC @ CHI,W,239,100,40,73,0.548,5,13,0.385,15,19,0.789,5,32,37,29,12,6,17,23,19.0,2000-01
22000,1610612749,MIL,Milwaukee Bucks,0020000007,2000-10-31,MIL @ DAL,L,240,93,33,83,0.398,6,19,0.316,21,26,0.808,17,34,51,16,6,7,18,27,-4.0,2000-01
22000,1610612755,PHI,Philadelphia 76ers,0020000015,2000-11-01,PHI vs. TOR,W,240,104,41,85,0.482,3,11,0.273,19,28,0.679,17,26,43,19,11,10,14,23,6.0,2000-01
22000,1610612743,DEN,Denver Nuggets,0020000020,2000-11-01,DEN @ SEA,L,240,99,39,88,0.443,7,25,0.28,14,26,0.538,11,22,33,20,11,5,13,26,-13.0,2000-01
