stage,column,dtype,non_null,null_pct,prefix
matches,GAME_ID,object,32241,0.0,BASE
matches,HOME_TEAM_ID,object,32241,0.0,HOME
matches,GAME_DATE,object,32241,0.0,BASE
matches,SEASON,object,32241,0.0,BASE
matches,HOME_IS_WIN,int64,32241,0.0,HOME
matches,HOME_POINTS_FOR,int64,32241,0.0,HOME
matches,HOME_POINTS_AGAINST,int64,32241,0.0,HOME
matches,HOME_POINT_DIFF,int64,32241,0.0,HOME
matches,HOME_POINT_TOTAL,int64,32241,0.0,HOME
matches,HOME_fieldGoalsMade_traditional,float64,0,100.0,HOME
matches,HOME_fieldGoalsAttempted_traditional,float64,0,100.0,HOME
matches,HOME_threePointersMade_traditional,float64,0,100.0,HOME
matches,HOME_threePointersAttempted_traditional,float64,0,100.0,HOME
matches,HOME_freeThrowsMade_traditional,float64,0,100.0,HOME
matches,HOME_freeThrowsAttempted_traditional,float64,0,100.0,HOME
matches,HOME_reboundsOffensive_traditional,float64,0,100.0,HOME
matches,HOME_reboundsDefensive_traditional,float64,0,100.0,HOME
matches,HOME_reboundsTotal_traditional,float64,0,100.0,HOME
matches,HOME_assists_traditional,float64,0,100.0,HOME
matches,HOME_steals_traditional,float64,0,100.0,HOME
matches,HOME_blocks_traditional,float64,0,100.0,HOME
matches,HOME_turnovers_traditional,float64,0,100.0,HOME
matches,HOME_foulsPersonal_traditional,float64,0,100.0,HOME
matches,HOME_points_traditional,float64,0,100.0,HOME
matches,HOME_MINUTES_PLAYED,float64,0,100.0,HOME
matches,HOME_pointsOffTurnovers_misc,float64,0,100.0,HOME
matches,HOME_pointsSecondChance_misc,float64,0,100.0,HOME
matches,HOME_pointsFastBreak_misc,float64,0,100.0,HOME
matches,HOME_pointsPaint_misc,float64,0,100.0,HOME
matches,HOME_blocksAgainst_misc,float64,0,100.0,HOME
matches,HOME_offensiveRating_advanced,float64,0,100.0,HOME
matches,HOME_defensiveRating_advanced,float64,0,100.0,HOME
matches,HOME_netRating_advanced,float64,0,100.0,HOME
matches,HOME_assistPercentage_advanced,float64,0,100.0,HOME
matches,HOME_assistToTurnover_advanced,float64,0,100.0,HOME
matches,HOME_assistRatio_advanced,float64,0,100.0,HOME
matches,HOME_offensiveReboundPercentage_advanced,float64,0,100.0,HOME
matches,HOME_defensiveReboundPercentage_advanced,float64,0,100.0,HOME
matches,HOME_reboundPercentage_advanced,float64,0,100.0,HOME
matches,HOME_turnoverRatio_advanced,float64,0,100.0,HOME
matches,HOME_effectiveFieldGoalPercentage_advanced,float64,0,100.0,HOME
matches,HOME_trueShootingPercentage_advanced,float64,0,100.0,HOME
matches,HOME_usagePercentage_advanced,float64,0,100.0,HOME
matches,HOME_estimatedPace_advanced,float64,0,100.0,HOME
matches,HOME_pace_advanced,float64,0,100.0,HOME
matches,HOME_possessions_advanced,float64,0,100.0,HOME
matches,HOME_PIE_advanced,float64,0,100.0,HOME
matches,HOME_effectiveFieldGoalPercentage_fourfactors,float64,0,100.0,HOME
matches,HOME_freeThrowAttemptRate_fourfactors,float64,0,100.0,HOME
matches,HOME_teamTurnoverPercentage_fourfactors,float64,0,100.0,HOME
matches,HOME_oppEffectiveFieldGoalPercentage_fourfactors,float64,0,100.0,HOME
matches,HOME_oppFreeThrowAttemptRate_fourfactors,float64,0,100.0,HOME
matches,HOME_oppTeamTurnoverPercentage_fourfactors,float64,0,100.0,HOME
matches,HOME_oppOffensiveReboundPercentage_fourfactors,float64,0,100.0,HOME
matches,HOME_foulsDrawn_misc,float64,0,100.0,HOME
matches,HOME_percentageFieldGoalsAttempted2pt_scoring,float64,0,100.0,HOME
matches,HOME_percentageFieldGoalsAttempted3pt_scoring,float64,0,100.0,HOME
matches,HOME_percentagePoints2pt_scoring,float64,0,100.0,HOME
matches,HOME_percentagePointsMidrange2pt_scoring,float64,0,100.0,HOME
matches,HOME_percentagePoints3pt_scoring,float64,0,100.0,HOME
matches,HOME_percentagePointsFastBreak_scoring,float64,0,100.0,HOME
matches,HOME_percentagePointsFreeThrow_scoring,float64,0,100.0,HOME
matches,HOME_percentagePointsOffTurnovers_scoring,float64,0,100.0,HOME
matches,HOME_percentagePointsPaint_scoring,float64,0,100.0,HOME
matches,HOME_percentageAssisted2pt_scoring,float64,0,100.0,HOME
matches,HOME_percentageUnassisted2pt_scoring,float64,0,100.0,HOME
matches,HOME_percentageAssisted3pt_scoring,float64,0,100.0,HOME
matches,HOME_percentageUnassisted3pt_scoring,float64,0,100.0,HOME
matches,HOME_percentageAssistedFGM_scoring,float64,0,100.0,HOME
matches,HOME_percentageUnassistedFGM_scoring,float64,0,100.0,HOME
matches,HOME_threePointersPercentage_traditional,float64,0,100.0,HOME
matches,HOME_freeThrowsPercentage_traditional,float64,0,100.0,HOME
matches,HOME_percentageFieldGoalsMade_usage,float64,0,100.0,HOME
matches,HOME_percentageFieldGoalsAttempted_usage,float64,0,100.0,HOME
matches,HOME_percentageThreePointersMade_usage,float64,0,100.0,HOME
matches,HOME_percentageThreePointersAttempted_usage,float64,0,100.0,HOME
matches,HOME_percentageFreeThrowsMade_usage,float64,0,100.0,HOME
matches,HOME_percentageFreeThrowsAttempted_usage,float64,0,100.0,HOME
matches,HOME_percentageReboundsOffensive_usage,float64,0,100.0,HOME
matches,HOME_percentageReboundsDefensive_usage,float64,0,100.0,HOME
matches,HOME_percentageReboundsTotal_usage,float64,0,100.0,HOME
matches,HOME_percentageAssists_usage,float64,0,100.0,HOME
matches,HOME_percentageTurnovers_usage,float64,0,100.0,HOME
matches,HOME_percentageSteals_usage,float64,0,100.0,HOME
