gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203114,Khris,Middleton,K. Middleton,khris-middleton,F,,22,38:57,4,2,0,2,11,7,14,28,1,0,2,2
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,34,42:12,4,4,4,14,13,9,14,30,2,2,4,4
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,202328,Greg,Monroe,G. Monroe,greg-monroe,C,,15,39:25,6,0,0,12,8,6,9,22,1,0,4,4
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,201573,Jerryd,Bayless,J. Bayless,jerryd-bayless,G,,19,46:40,3,6,1,4,13,9,11,28,0,1,2,5
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203487,Michael,Carter-Williams,M. Carter-Williams,michael-carter-williams,G,,5,22:38,2,0,2,4,4,4,5,14,2,0,5,3
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,202349,Greivis,Vasquez,G. Vasquez,greivis-vasquez,,,21,26:42,0,0,0,0,9,5,12,22,0,1,1,1
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203101,Miles,Plumlee,M. Plumlee,miles-plumlee,,,18,6:19,0,2,0,2,5,0,5,6,0,0,4,1
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203948,Johnny,O'Bryant III,J. O'Bryant III,johnny-obryant-iii,,,77,17:02,6,2,0,2,2,5,0,10,1,0,1,3
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203142,Chris,Copeland,C. Copeland,chris-copeland,,,9,0:05,0,0,0,0,0,0,0,0,0,0,0,0
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203898,Tyler,Ennis,T. Ennis,tyler-ennis,,"DND - Post-Surgery, Right Shoulder",11,,0,0,0,0,0,0,0,0,0,0,0,0
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203996,Damien,Inglis,D. Inglis,damien-inglis,,DNP - Coach's Decision,17,,0,0,0,0,0,0,0,0,0,0,0,0
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,203953,Jabari,Parker,J. Parker,jabari-parker,,"DND - Post-Surgery, Left Knee",12,,0,0,0,0,0,0,0,0,0,0,0,0
0021500047,1610612749,Milwaukee,Bucks,MIL,bucks,1626173,Rashad,Vaughn,R. Vaughn,rashad-vaughn,,DNP - Coach's Decision,20,,0,0,0,0,0,0,0,0,0,0,0,0
0021500047,1610612751,Brooklyn,Nets,BKN,nets,2207,Joe,Johnson,J. Johnson,joe-johnson,F,,7,40:50,5,0,2,0,25,16,7,34,0,1,2,3
0021500047,1610612751,Brooklyn,Nets,BKN,nets,201152,Thaddeus,Young,T. Young,thaddeus-young,F,,30,25:19,0,2,5,12,12,2,4,18,1,3,2,2
0021500047,1610612751,Brooklyn,Nets,BKN,nets,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,11,34:24,2,0,0,2,19,14,7,26,2,0,5,6
0021500047,1610612751,Brooklyn,Nets,BKN,nets,203900,Markel,Brown,M. Brown,markel-brown,G,,22,25:33,2,0,0,2,15,14,7,20,1,0,2,0
