gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000030,1610612756,Phoenix,Suns,PHX,suns,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,26:49,95.1,95.1,91.8,91.8,3.3,3.3,0.053,0.0,11.1,0.031,0.061,0.046,0.0,0.563,0.563,0.121,0.121,109.19,109.19,90.99,61.0,0.12
0022000030,1610612756,Phoenix,Suns,PHX,suns,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,32:44,101.4,101.4,102.9,102.9,-1.4,-1.4,0.1,0.0,13.3,0.025,0.189,0.104,0.0,0.654,0.654,0.165,0.165,102.65,102.65,85.54,70.0,0.186
0022000030,1610612756,Phoenix,Suns,PHX,suns,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,29:56,106.1,106.1,92.6,92.6,13.4,13.4,0.083,1.0,18.2,0.125,0.25,0.188,18.2,0.6,0.625,0.123,0.123,107.44,107.44,89.53,66.0,0.106
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626164,Devin,Booker,D. Booker,devin-booker,G,,,38:15,102.4,102.4,98.8,98.8,3.6,3.6,0.13,0.43,9.4,0.0,0.068,0.033,21.9,0.548,0.582,0.305,0.305,104.16,104.16,86.8,83.0,0.08
0022000030,1610612756,Phoenix,Suns,PHX,suns,101108,Chris,Paul,C. Paul,chris-paul,G,,,32:47,94.6,94.6,95.9,95.9,-1.4,-1.4,0.632,0.0,36.4,0.026,0.105,0.066,0.0,0.474,0.519,0.263,0.263,108.35,108.35,90.29,74.0,0.234
0022000030,1610612756,Phoenix,Suns,PHX,suns,1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,25:03,90.7,90.7,113.5,113.5,-22.7,-22.7,0.063,0.0,9.1,0.033,0.043,0.038,0.0,0.4,0.4,0.161,0.161,101.56,101.56,84.63,54.0,0.036
0022000030,1610612756,Phoenix,Suns,PHX,suns,1627745,Damian,Jones,D. Jones,damian-jones,,,,15:27,93.9,93.9,128.1,128.1,-34.2,-34.2,0.0,0.0,0.0,0.0,0.143,0.057,0.0,0.333,0.333,0.079,0.079,100.97,100.97,84.14,33.0,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626166,Cameron,Payne,C. Payne,cameron-payne,,,,15:13,103.1,103.1,116.7,116.7,-13.5,-13.5,0.4,2.0,30.8,0.0,0.071,0.029,15.4,0.571,0.571,0.231,0.231,97.79,97.79,81.49,32.0,0.12
0022000030,1610612756,Phoenix,Suns,PHX,suns,1630188,Jalen,Smith,J. Smith,jalen-smith,,,,4:05,130.0,130.0,111.1,111.1,18.9,18.9,0.0,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.154,0.154,111.67,111.67,93.06,10.0,-0.049
0022000030,1610612756,Phoenix,Suns,PHX,suns,1628975,Jevon,Carter,J. Carter,jevon-carter,,,,7:18,82.4,82.4,106.3,106.3,-23.9,-23.9,0.0,0.0,0.0,0.0,0.2,0.071,0.0,0.167,0.167,0.333,0.333,108.47,108.47,90.39,17.0,-0.036
0022000030,1610612756,Phoenix,Suns,PHX,suns,204038,Langston,Galloway,L. Galloway,langston-galloway,,,,9:46,90.5,90.5,100.0,100.0,-9.5,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.136,105.67,105.67,88.05,21.0,-0.076
0022000030,1610612756,Phoenix,Suns,PHX,suns,1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,2:37,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.091,0.0,0.0,0.0,0.167,0.167,91.72,91.72,76.43,5.0,2.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,1630234,Ty-Shon,Alexander,T. Alexander,ty-shon-alexander,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,202734,E'Twaun,Moore,E. Moore,etwaun-moore,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612756,Phoenix,Suns,PHX,suns,203967,Dario,Šarić,D. Šarić,dario-šarić,,DNP - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000030,1610612758,Sacramento,Kings,SAC,kings,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,34:08,104.1,104.1,101.4,101.4,2.7,2.7,0.095,1.0,11.1,0.025,0.238,0.134,11.1,0.357,0.381,0.182,0.182,104.06,104.06,86.72,74.0,0.11
